Random,NSGA_2,NSGA_3,IBEA,MOCell,SPEA_2
0.734,0.548,0.613,0.487,0.625,0.554
0.741,0.566,0.53,0.563,0.662,0.594
0.733,0.615,0.548,0.478,0.665,0.554
0.736,0.599,0.557,0.503,0.712,0.572
0.725,0.562,0.554,0.536,0.618,0.6
0.729,0.596,0.507,0.5,0.621,0.565
0.738,0.578,0.551,0.53,0.587,0.59
0.73,0.587,0.519,0.48,0.61,0.578
0.736,0.571,0.586,0.538,0.722,0.586
0.731,0.571,0.571,0.518,0.611,0.562
0.724,0.538,0.519,0.597,0.662,0.559
0.739,0.561,0.531,0.494,0.636,0.615
0.731,0.585,0.512,0.533,0.703,0.57
0.721,0.559,0.584,0.491,0.626,0.605
0.732,0.581,0.592,0.485,0.664,0.576
0.732,0.596,0.563,0.512,0.62,0.582
0.738,0.548,0.527,0.554,0.602,0.554
0.737,0.604,0.594,0.578,0.72,0.532
0.741,0.594,0.532,0.592,0.619,0.579
0.738,0.56,0.602,0.537,0.688,0.585
0.74,0.56,0.555,0.513,0.661,0.54
0.738,0.604,0.52,0.501,0.587,0.531
0.735,0.573,0.553,0.515,0.606,0.577
0.744,0.582,0.505,0.567,0.638,0.579
0.731,0.593,0.532,0.517,0.637,0.595
0.737,0.585,0.527,0.516,0.659,0.598
0.733,0.564,0.546,0.593,0.592,0.583
0.732,0.546,0.563,0.576,0.718,0.503
0.736,0.589,0.521,0.517,0.663,0.576
0.735,0.584,0.584,0.532,0.65,0.603
